name,body_group,force,muscle_group,equipment,description,category
Seated Calf Stretch,Lower Body,Push,Calves,Bodyweight,not available,Stretching
Standing Calf Raise,Lower Body,Push,Calves,Bodyweight,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength
Standing calf raise-,Lower Body,Push,Calves,Bodyweight,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. When unweighted, it is usually performed for high reps or for time.",Strength
HM Left Calf-Spike Sumo Pulse,Lower Body,Push,Calves,Bodyweight,not available,Strength
Ankle Circles,Lower Body,Push,Calves,Unavailable,not available,Stretching
Calf Stretch Elbows Against Wall,Lower Body,Push,Calves,Unavailable,not available,Stretching
Standing Soleus And Achilles Stretch,Lower Body,Push,Calves,Unavailable,not available,Stretching
Cross Over - With Bands,Upper Body,Push,Chest,Band,not available,Strength
Bench Press - With Bands,Upper Body,Push,Chest,Band,not available,Strength
Bench Press With Short Bands,Upper Body,Push,Chest,Band,not available,Powerlifting
Feet-Elevated TRX Push-Up,Upper Body,Push,Chest,Band,not available,Strength
Band-suspended kettlebell bench press,Upper Body,Push,Chest,Band,"The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.",Strength
HM Banded Cross-Over Pull,Upper Body,Push,Chest,Band,not available,Strength
Rusin Band Pull-Apart,Upper Body,Push,Chest,Band,not available,Strength
UNS Banded Push-Up,Upper Body,Push,Chest,Band,not available,Strength
Taylor Band-Assisted One-Arm Push-Up,Upper Body,Push,Chest,Band,not available,Strength
Incline band bench press,Upper Body,Push,Chest,Band,"The incline band bench press is variation of the incline press, a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength
Band push-up,Upper Body,Push,Chest,Band,"The band push-up is a progression of the popular bodyweight version of the exercise commonly used in military and tactical physical fitness tests. Adding the dynamic resistance of the band matches the strength curve of the push-up and helps build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
Band chest fly,Upper Body,Push,Chest,Band,"Similar to the cable chest fly, the band chest fly is a single-joint movement that works the pectoral muscles. The fly is common in upper-body and chest-focused muscle-building workouts, and the band variation works well as a pre-exhaust at the beginning of a workout or a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.",Strength
Close-grip bench press,Upper Body,Push,Chest,Barbell,"The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the triceps. The close-grip bench press is often used as an accessory movement for the traditional bench press, or as a triceps builder for arm training. Similar to the bench press, it can be trained in low reps for strength or higher reps for muscle or strength endurance.",Strength
Barbell Bench Press - Medium Grip,Upper Body,Push,Chest,Barbell,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength
Decline barbell bench press,Upper Body,Push,Chest,Barbell,"The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength
Wide-grip bench press,Upper Body,Push,Chest,Barbell,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.",Strength
Wide-Grip Decline Barbell Bench Press,Upper Body,Push,Chest,Barbell,not available,Strength
Barbell Incline Bench Press Medium-Grip,Upper Body,Push,Chest,Barbell,The incline bench press is an upper body compound movement that targets the upper chest.,Strength
Neck Press,Upper Body,Push,Chest,Barbell,not available,Strength
Front Raise And Pullover,Upper Body,Push,Chest,Barbell,not available,Strength
Board bench press,Upper Body,Push,Chest,Barbell,"The board bench press is an upper-body exercise that is commonly performed as an assistance movement for the bench press. It targets the same muscles as the bench press, including the chest and shoulders, but really focuses on the triceps. Because you can load it more heavily than a full bench press, it allows you to overload the triceps and lock out of the bench press.",Powerlifting
Barbell Bench Press-Wide Grip,Upper Body,Push,Chest,Barbell,"The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.",Strength
Wide-Grip Decline Barbell Pullover,Upper Body,Push,Chest,Barbell,not available,Strength
Barbell Guillotine Bench Press,Upper Body,Push,Chest,Barbell,not available,Strength
Paul Carter Incline Bench Press,Upper Body,Push,Chest,Barbell,The incline bench press is an upper body compound movement that targets the upper chest.,Strength
Incline bench press,Upper Body,Push,Chest,Barbell,"The incline bench press is a popular barbell exercise targeting the chest muscles, particularly the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength
Bench press,Upper Body,Push,Chest,Barbell,"The bench press is a popular barbell exercise that builds strength and muscle in the chest, triceps, and shoulders. It is a popular way to measure overall upper-body strength, and is contested in the sport of powerlifting. When many people think of lifting, the bench press is often the first exercise that comes to mind. It can be performed for low reps for strength, higher reps for muscle, or for higher reps to build or measure strength endurance, like in the 225-pound bench press rep test in the NFL combine.",Strength
TBS Close-Grip Bench Press,Upper Body,Push,Chest,Barbell,The close-grip bench pressis a compound exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together.,Strength
AM Flat Bench Barbell Press,Upper Body,Push,Chest,Barbell,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength
UP Bench Press,Upper Body,Push,Chest,Barbell,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength
UP Close-Grip Bench Press,Upper Body,Push,Chest,Barbell,The close-grip bench pressis a compound exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together.,Strength
King Maker Barbell Bench Press,Upper Body,Push,Chest,Barbell,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength
King Maker Incline Barbell Bench Press,Upper Body,Push,Chest,Barbell,The incline bench press is an upper body compound movement that targets the upper chest.,Strength
30 Chest Incline Barbell Bench Press,Upper Body,Push,Chest,Barbell,not available,Strength
30 Chest Barbell Bench Press,Upper Body,Push,Chest,Barbell,not available,Strength
30 Chest 30-Degree Incline Dumbbell Press,Upper Body,Push,Chest,Barbell,not available,Strength
Spoto press,Upper Body,Push,Chest,Barbell,"The Spoto press is a variation of the popular barbell exercise the bench press that builds strength and muscle in the chest, triceps, and shoulders. It differs from the bench press in that the lifter pauses for a few seconds at the bottom of the movement before pressing the bar back up. This pause removes all momentum and increases the time under tension for the chest and shoulder muscles to help develop upper-body musculature and strength.",Strength
Kettlebell plyo push-up,Upper Body,Push,Chest,Kettlebell,"The kettlebell plyo push-up is an explosive upper-body movement that uses a kettlebell primarily as a platform for the hands. A short step, dumbbell, or other stationary object could also be used in place of the kettlebell. It can be performed for reps or time, either for low reps to build explosive power or for higher reps for conditioning.",Strength
Extended Range One-Arm Kettlebell Floor Press,Upper Body,Push,Chest,Kettlebell,not available,Strength
Kettlebell alternating floor press,Upper Body,Push,Chest,Kettlebell,"The kettlebell alternating floor press limits the range of motion you would achieve with a dumbbell or kettlebell bench press, but still targets the chest, triceps, and anterior delts. This allows you to build strength in the top portion of the lift, overload the triceps, and work on strengthening the shoulder stabilizers.",Strength
One-Arm Kettlebell Floor Press,Upper Body,Push,Chest,Kettlebell,not available,Strength
Leg-Over Floor Press,Upper Body,Push,Chest,Kettlebell,not available,Strength
FYR2 Push-Up to Kettlebell Hike Combo,Upper Body,Push,Chest,Kettlebell,not available,Strength
Pushups,Upper Body,Push,Chest,Bodyweight,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
Incline Push-Up,Upper Body,Push,Chest,Bodyweight,"The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Strength
Hands-elevated push-up,Upper Body,Push,Chest,Bodyweight,"The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or as a mechanical dropset after maxing out on floor push-ups.",Strength
Decline Push-Up,Upper Body,Push,Chest,Bodyweight,"The feet-elevated push-up is a variation on the push-up, a body-weight standard. The feet are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Strength
Single-Arm Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Close push-up to wide push-up,Upper Body,Push,Chest,Bodyweight,"The close push-up to wide push-up combines two variations of a push-up to emphasize the strengthening of different muscles. The close push-up emphasizes the triceps, while the wide push-up emphasizes the chest and shoulders.",Strength
Wide-grip hands-elevated push-up,Upper Body,Push,Chest,Bodyweight,"The wide-grip hands-elevated push-up is a variation on the elevated push-up performed with the hands farther apart than with a standard push-up. Having the hands higher than the feet makes it easier than wide-grip push-ups on the floor, but the extra width also puts more emphasis on the chest muscles. It can be used as a substitute for wide-grip floor push-ups, or as a mechanical dropset after maxing out on floor push-ups.",Strength
Push-Ups With Feet On An Exercise Ball,Upper Body,Push,Chest,Bodyweight,not available,Strength
Feet-elevated push-up,Upper Body,Push,Chest,Bodyweight,"The feet-elevated push-up is a variation on the push-up, a bodyweight standard. The feet are elevated so that your body is aligned at an angle to the floor rather than parallel. This makes it more difficult than push-ups on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a bodyweight substitute for incline presses, or as a burnout movement for a chest or shoulder workout.",Strength
Isometric Wipers,Upper Body,Push,Chest,Bodyweight,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Strength
Clock push-up,Upper Body,Push,Chest,Bodyweight,"The clock push-up is a series of regular push-ups performed one at a time, moving your hands one step to the side between each one until you've completed a full circle. It targets the same muscles as traditional push-ups, such as the chest, triceps, and shoulders, but adds an endurance and core challenge to traditional push-ups.",Strength
Incline Push-Up Depth Jump,Upper Body,Push,Chest,Bodyweight,not available,Plyometrics
Push-Up Wide,Upper Body,Push,Chest,Bodyweight,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",Strength
Sphinx push-up,Upper Body,Push,Chest,Bodyweight,"The sphinx push-up is a difficult variation of the push-up that ends with the forearms on the ground in front of the body, rather than with the chest on the ground. It puts more stress on the triceps than traditional push-ups. It can be performed for time or reps in any bodyweight workout or during any arms-focused portion of a workout.",Strength
Close-Hands Push-Up,Upper Body,Push,Chest,Bodyweight,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Strength
Tiger-bend push-up,Upper Body,Push,Chest,Bodyweight,The tiger-bend push-up is an advanced push-up variation where you shift onto your forearms at the bottom position and then back onto your hands and up again. It targets the triceps far more than regular push-ups.,Strength
Plyo push-up,Upper Body,Push,Chest,Bodyweight,"The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics
Close-grip hands-elevated push-up,Upper Body,Push,Chest,Bodyweight,"The close-grip hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than close-grip push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or close-grip push-ups, or as a mechanical dropset after maxing out on floor push-ups.",Strength
Suspended push-up,Upper Body,Push,Chest,Bodyweight,"The suspended push-up is a bodyweight pushing exercise performed on a suspension strap system or gymnastic rings. It targets the chest, shoulders, and triceps, but is also challenging to the core and upper back. It can work in traditional strength and muscle-building rep ranges or for higher reps.",Strength
Push Up to Side Plank,Upper Body,Push,Chest,Bodyweight,"The push-up to side plank is an upper-body and core-focused exercise combining two popular bodyweight movements. It targets the chest, triceps, and shoulders with the push-up, and the obliques and hip external rotator muscles with the side plank. It can be performed as part of a dynamic warm-up or any bodyweight strength-training workout.",Strength
Isometric Chest Squeezes,Upper Body,Push,Chest,Bodyweight,not available,Plyometrics
Side-to-side push-up,Upper Body,Push,Chest,Bodyweight,The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.,Strength
Typewriter push-up,Upper Body,Push,Chest,Bodyweight,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Strength
Diamond push-up,Upper Body,Push,Chest,Bodyweight,"The diamond push-up is an advanced variation of the push-up exercise performed with the hands in a diamond shape. It increases the challenge to the triceps, but also targets the chest and shoulders.",Strength
Judo push-up,Upper Body,Push,Chest,Bodyweight,"The judo push-up is an advanced push-up variation that blends elements of the yoga poses downward- and upward-facing dog. This movement increases the demands on the shoulders, but also has mobility benefits. It can work in a dynamic warm-up or mobility-focused workout, but also in bodyweight strength training.",Strength
Superman Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Plyometrics
Wide push-up,Upper Body,Push,Chest,Bodyweight,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",Strength
One-Arm Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Clapping Push-Up,Upper Body,Push,Chest,Bodyweight,"Also known as a plyo push-up, the clapping push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics
Staggered push-up,Upper Body,Push,Chest,Bodyweight,"The staggered push-up is a variation of the push-up exercise where your hand position is staggered, with one hand forward and one back. It targets the same muscles as a traditional push-up, including the chest, triceps, and shoulders, but is more difficult to the rear arm and core.",Strength
Reverse-grip hands-elevated push-up,Upper Body,Push,Chest,Bodyweight,"The reverse-grip hands-elevated push-up is a bodyweight exercise performed on a Smith machine or other elevated surface. It targets the chest, triceps, and shoulders. It can work as a regression of floor reverse-grip push-ups, or in a progressive mechanical dropset moving the bar up once you reach failure at a lower height.",Strength
Triple Clap Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Plyometrics
Side kick-through push-up,Upper Body,Push,Chest,Bodyweight,"The side kick-through push-up is a full-body movement that begins in a bear crawl position and ends with a leg kicked out to the side, with a push-up performed between kick-throughs. It is commonly performed for reps or timed bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength
Swimming,Upper Body,Push,Chest,Bodyweight,not available,Cardio
FYR Push-Up,Upper Body,Push,Chest,Bodyweight,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
Frog push-up,Upper Body,Push,Chest,Bodyweight,"The frog push-up is an advanced push-up variation that is performed with the legs bent and butt in the air. It heavily targets the triceps and shoulders, but is also quite challenging to the core.",Strength
Wide push-up plank hold,Upper Body,Push,Chest,Bodyweight,"The wide push-up plank hold is a full-body exercise targeting the core. Because the arms aren't directly under the body, it can be more difficult than traditional push-up planks, especially for the upper back and chest, but also for the core.",Strength
Close push-up,Upper Body,Push,Chest,Bodyweight,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Strength
Push-Up - Gethin Variation,Upper Body,Push,Chest,Bodyweight,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
HM Incline Push-Up On Chair,Upper Body,Push,Chest,Bodyweight,not available,Strength
HM Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
HM Push-Plank,Upper Body,Push,Chest,Bodyweight,not available,Strength
AM Chest Dips,Upper Body,Push,Chest,Bodyweight,The chest dip is a chest-building exercise in which the lifter hangs between two parallel handles. Leaning the torso slightly forward shifts the emphasis from the triceps to the chest.,Strength
Push-up,Upper Body,Push,Chest,Bodyweight,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
UP Push-up,Upper Body,Push,Chest,Bodyweight,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
UN Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
UNS Foam Roll Pecs,Upper Body,Push,Chest,Bodyweight,not available,Strength
UN Hands Elevated Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Seal Drag to Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Hand-Elevated Push-Up with Hand Row,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Slow Hips-Up Chest Press,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Jump-Out Push-Up with Hand Hop Back,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Froggy Push-Up to Donkey Kick,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Push-Up to Sit Back,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Sit Back Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Alternating Staggered Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Foot-Up Diving Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Narrow Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Dynamo Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Jump to Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Foot-Elevated Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Holman Feet-Elevated Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Total Fitness Plyo Push-Up,Upper Body,Push,Chest,Bodyweight,"The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Strength
Scapular push-up,Upper Body,Push,Chest,Bodyweight,"The scapular push-up is an upper-body exercise aimed at increasing the stability of the scapulae and mobility in the shoulders. It is often performed as part of a dynamic warm-up before an upper-body workout, or as part of a mobility session.",Strength
King Maker Push-up,Upper Body,Push,Chest,Bodyweight,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength
Warrior push-up,Upper Body,Push,Chest,Bodyweight,"The warrior push-up is a series of push-up and plank variations combined into a single sequence. They include a Judo push-up, plank, side plank, mountain climber, diamond push-up, and regular push-up. Done together, they tax the upper-body muscles from different angles and increase time under tension for the entire body.",Strength
Taylor Roll-Over Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Taylor One-Arm Push-Up Slow Negative,Upper Body,Push,Chest,Bodyweight,not available,Strength
30 Chest Push-Up To Isometric Hold,Upper Body,Push,Chest,Bodyweight,not available,Strength
30 Chest Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
30 Chest Bench Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn 3-Phase Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Fast Feet To Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Judo Push-Up To Pike Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Pike Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Push-Up To Frogger,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Push-Up With Hand Side-Step,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Push-Up With Hand-Up Rotation,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Sphinx Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
MetaBurn Spiderman Push-Up,Upper Body,Push,Chest,Bodyweight,not available,Strength
Roberston Push-up to Down Dog,Upper Body,Push,Chest,Bodyweight,not available,Strength
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Upper Body,Push,Chest,Bodyweight,not available,Strength
ACFT Hand-release push-up,Upper Body,Push,Chest,Bodyweight,"The hand-release push-up is a variation of the push-up, a popular bodyweight exercise commonly used in military and tactical physical fitness tests. It’s a movement to build upper-body strength and endurance, emphasizing the chest, triceps, and shoulders, but also working the upper back and core. This specific exercise is part of the new Army Combat Fitness Test or ACFT.",Strength
1.5-rep push-up,Upper Body,Push,Chest,Bodyweight,"The 1.5-rep push-up is a more difficult variation of the push-up, commonly used to train for military and tactical physical fitness tests. It builds upper-body muscle and strength, emphasizing the chest, core, upper back, triceps, and shoulders.",Strength
ACFT Triple-clap push-up,Upper Body,Push,Chest,Bodyweight,"The triple-clap push-up is an explosive bodyweight exercise aimed at increasing upper-body power and strength. It is an advanced exercise targeting the muscles of the chest, triceps, core, and shoulders.",Strength
ACFT Superman push-up,Upper Body,Push,Chest,Bodyweight,"The Superman push-up is an explosive bodyweight exercise aimed at increasing upper-body power and strength. It is an advanced exercise targeting the muscles of the chest, triceps, shoulders, and core that involves pressing up off the floor and lifting the hands and feet off the ground simultaneously at the top of the movement.",Strength
Cross-over push-up,Upper Body,Push,Chest,Bodyweight,The cross-over push-up is a variation of the push-up that adds a degree of difficulty by stepping over a small box or step between repetitions. It can be performed for time or for reps and creates a greater core stabilization challenge by forcing the core muscles to maintain the a neutral spine throughout the movement.,Strength
Leverage Incline Chest Press,Upper Body,Push,Chest,Machine,not available,Strength
Butterfly,Upper Body,Push,Chest,Machine,"The machine chest fly is an exercise targeting the chest. The motion is often compared to bear-hugging a tree trunk. In chest workouts, this exercise often follows compound moves such as the bench press.",Strength
Leverage Chest Press,Upper Body,Push,Chest,Machine,The machine chest press is an upper body exercise targeting the pectoral muscles.,Strength
Decline Smith Press,Upper Body,Push,Chest,Machine,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.",Strength
Smith machine bench press,Upper Body,Push,Chest,Machine,"The Smith machine bench press is a machine-based movement targeting the chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",Strength
Leverage Decline Chest Press,Upper Body,Push,Chest,Machine,not available,Strength
Machine chest press,Upper Body,Push,Chest,Machine,"The machine chest press is a machine-based exercise targeting the chest. It approximates the motion of a bench press but is usually performed facing forward and seated upright. Many machines offer multiple grip options, such as overhand, neutral (palms facing), or underhand. The chest press is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a pre-exhaust or muscle-building upper-body workout.",Strength
Smith Machine Incline Bench Press,Upper Body,Push,Chest,Machine,"The Smith machine incline bench press is a machine-based movement targeting the chest, particularly the upper chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",Strength
Smith Machine Close-Grip Bench Press,Upper Body,Push,Chest,Machine,"The Smith machine close-grip bench press is a machine-based movement targeting the chest and triceps. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest, arms, or upper-body focused workout.",Strength
Smith Machine Decline Press,Upper Body,Push,Chest,Machine,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.",Strength
Smith machine bench press throw,Upper Body,Push,Chest,Machine,The Smith machine bench press throw is an exercise that helps develop pushing power that carries over to the traditional bench press. It involves pushing a relatively light weight (such as 30-50 percent of your 1RM) explosively and actually letting go at the top of the rep. It can work as power or speed-style training in a strength or athleticism-focused workout plan.,Strength
Machine chest fly,Upper Body,Push,Chest,Machine,"The machine chest fly is a machine-based exercise targeting the chest. It approximates the motion of a dumbbell fly or cable fly, but is usually performed facing forward and seated upright. The motion is often compared to bear-hugging a tree trunk. The chest fly is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a pre-exhaust or muscle-building upper-body workout.",Strength
Machine bench press,Upper Body,Push,Chest,Machine,"The machine bench press is a machine-based exercise targeting the chest and upper body. It approximates the motion of a bench press, but uses a selectorized weight-stack or plate-loaded machine. Many such machines also allow you to choose between different grips and grip widths. Machine-based presses are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or chest-focused portion of a workout.",Strength
Machine Seated Chest Press - Gethin Variation,Upper Body,Push,Chest,Machine,The machine chest press is an upper body exercise targeting the pectoral muscles.,Strength
Smith machine weighted push-up,Upper Body,Push,Chest,Machine,"The Smith machine weighted push-up is a pushing movement performed with a plate resting on the back or shoulders. It is performed most safely with a foot or so of space at the bottom to minimize the risk of getting ""pinned"" under the bar. It targets all the same muscles as a push-up, including the chest, triceps, and shoulders.",Strength
Smith machine incline bench press-,Upper Body,Push,Chest,Machine,"The Smith machine incline bench press is a machine-based movement targeting the chest, particularly the upper chest. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",Strength
Smith machine decline bench press,Upper Body,Push,Chest,Machine,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.",Strength
AM Pec Dec,Upper Body,Push,Chest,Machine,"The pec deck is a machine-based exercise targeting the chest. It approximates the motion of a dumbbell fly or cable fly, but is usually performed facing forward and seated upright. The motion is often compared to bear-hugging a tree trunk. The chest fly is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a pre-exhaust or muscle-building upper-body workout.",Strength
30 Chest Machine Flat Chest Press,Upper Body,Push,Chest,Machine,not available,Strength
Smith machine push-up,Upper Body,Push,Chest,Machine,"The Smith machine push-up is an upper-body exercise targeting the chest, shoulders, and triceps. It is similar in form to bodyweight push-ups, but with the hands on the bar of the Smith machine. This allows you to vary the height to increase or decrease difficulty, or to perform a mechanical dropset by raising the bar after hitting failure at a certain height.",Strength
30 Chest Smith Machine Incline Chest Press,Upper Body,Push,Chest,Machine,not available,Strength
